" Siege of Berlin"

Attacker,Georgian_Kingdom
Defender,Greenland
Winner,Nobody

Participant Logs,,,,,,Kill Logs,,,,,
Player,Damage,Kills,Deaths,KDR,,Time (h),Killer Side,Killer,Victim,Location
Anna897,1132.06,4,1,4.00,,2,Greenland,Cubanned,xKotaro,"(2717.90, 63.00, -10719.46)"
tithanur,1076.81,1,6,0.17,,2,Greenland,_carb,Nekometa13,"(2733.62, 63.01, -10721.30)"
speeedyz,1070.49,2,2,1.00,,2,Greenland,Ruzmarin,Lostnation,"(2745.57, 59.00, -10702.80)"
BlackeN__,1042.42,2,1,2.00,,2,Greenland,Cubanned,mexican_dong,"(2720.30, 59.00, -10713.30)"
Tqnooki,961.28,1,0,1.00,,2,Greenland,_Hank_Schrader,Nekometa13,"(2728.37, 40.41, -10714.48)"
IgnMessi,944.22,5,0,5.00,,2,Georgian_Kingdom,Pupunan,MES0P0TAMIA,"(2704.53, 63.00, -10716.05)"
ItzSpicey,910.32,1,3,0.33,,2,Greenland,TiCTaCPoWer,RinneganPT,"(2724.30, 58.33, -10702.30)"
Vertq,908.22,0,1,0.00,,2,Georgian_Kingdom,wLost,Cubanned,"(2719.70, 59.08, -10711.70)"
lilbrobro,891.83,2,2,1.00,,2,Greenland,Ruzmarin,TeaBurger,"(2724.30, 55.35, -10708.99)"
7Krieg,878.53,1,0,1.00,,3,Georgian_Kingdom,6mint9,_Hank_Schrader,"(2725.03, 59.93, -10705.69)"
W00BACK,872.49,1,11,0.09,,3,Georgian_Kingdom,Nekometa13,Xavlummea,"(2703.83, 62.57, -10715.39)"
BadgesS,845.71,1,5,0.20,,3,Greenland,TiCTaCPoWer,rolyy,"(2726.70, 41.00, -10713.96)"
CantHitMe,832.50,4,1,4.00,,3,Greenland,MES0P0TAMIA,Pupunan,"(2724.35, 41.76, -10713.49)"
NonStopYuno,826.09,1,5,0.20,,3,Greenland,Missense,MDJayy,"(2728.70, 38.00, -10710.30)"
Danday,822.80,2,3,0.67,,3,Georgian_Kingdom,mexican_dong,BadgesS,"(2714.30, 50.63, -10709.72)"
ezvl,816.87,2,1,2.00,,3,Greenland,_Hank_Schrader,RinneganPT,"(2727.69, 40.41, -10710.37)"
CartelClapper,802.82,2,4,0.50,,3,Greenland,TLCarnas,TeaBurger,"(2713.35, 52.18, -10709.70)"
mika610,792.44,1,3,0.33,,3,Georgian_Kingdom,Bovada,TLCarnas,"(2667.71, 62.36, -10695.90)"
Zoooos,783.55,0,5,0.00,,3,Georgian_Kingdom,Pupunan,Coldballer78,"(2668.60, 59.00, -10691.30)"
DxnClappin,713.99,0,1,0.00,,3,Greenland,icrft,6mint9,"(2705.30, 59.00, -10739.60)"
"#Fire tick",713.56,2,0,2.00,,3,Georgian_Kingdom,PaysafeDoVSKI,NonStopYuno,"(2701.78, 61.42, -10713.75)"
Myver,702.92,0,1,0.00,,3,Greenland,kalkapat,Avenqing,"(2708.35, 60.00, -10739.41)"
PatrickD2109,700.34,0,2,0.00,,3,Greenland,Xavlummea,6mint9,"(2738.30, 55.92, -10707.30)"
futromanizelow,678.70,0,3,0.00,,3,Greenland,TLCarnas,Gnff,"(2739.53, 61.11, -10697.86)"
xDababneh,676.16,0,2,0.00,,3,Greenland,TiCTaCPoWer,Bovada,"(2708.30, 53.57, -10698.44)"
_Cheems,664.41,1,5,0.20,,3,Georgian_Kingdom,Pupunan,_Hank_Schrader,"(2700.37, 44.09, -10697.70)"
AnCatt,582.43,0,1,0.00,,3,Georgian_Kingdom,xKotaro,TLCarnas,"(2700.70, 43.38, -10697.52)"
TheRatGang,581.26,0,0,0.00,,3,Greenland,IzPwoj,RedstoneBeam,"(2692.25, 39.00, -10690.70)"
HotDogKidReal,569.87,1,4,0.25,,3,Greenland,UghBraces,Nekometa13,"(2709.28, 57.00, -10704.81)"
tsotne07,561.63,0,3,0.00,,3,Greenland,Cubanned,MDJayy,"(2697.55, 35.00, -10691.96)"
Thwerrve,548.90,0,1,0.00,,3,Greenland,icrft,Avenqing,"(2693.08, 19.00, -10684.33)"
Coldballer78,534.26,0,6,0.00,,3,Greenland,_carb,NjMcr,"(2708.53, 58.00, -10715.70)"
Biz0n_CZ,521.71,1,2,0.50,,3,Greenland,Cubanned,Offlined,"(2690.36, 19.00, -10684.30)"
0Moe,499.46,1,2,0.50,,3,Greenland,PabloCuteAsf,Pupunan,"(2693.59, 17.00, -10684.54)"
Untrusty,488.52,2,2,1.00,,3,Greenland,Ruzmarin,Lostnation,"(2693.30, 15.42, -10681.70)"
CowardlyFirebolt,477.03,0,0,0.00,,3,Georgian_Kingdom,Gnff,Coldballer78,"(2752.91, 65.54, -10618.33)"
TheTechnos_,449.36,0,1,0.00,,3,Georgian_Kingdom,rolyy,NotSteve24,"(2596.70, 45.00, -10674.70)"
tuxc,429.16,0,2,0.00,,3,Georgian_Kingdom,Lostnation,monkeynick123ooh,"(2624.84, 63.42, -10680.52)"
Blackystone,428.07,1,2,0.50,,3,Greenland,TLCarnas,MDJayy,"(2632.30, 52.15, -10680.06)"
webga,400.11,0,1,0.00,,3,Georgian_Kingdom,NjMcr,BadgesS,"(2634.14, 63.00, -10685.70)"
Adzy,396.14,1,2,0.50,,3,Greenland,TLCarnas,Lostnation,"(2649.82, 37.89, -10676.31)"
ThiccBoyZach,395.42,0,1,0.00,,3,Greenland,TiCTaCPoWer,Bovada,"(2601.30, 49.00, -10667.63)"
CookiesCuddleCat,370.18,1,0,1.00,,3,Georgian_Kingdom,xKotaro,icrft,"(2601.81, 53.12, -10659.31)"
B0nkers_69,367.64,1,0,1.00,,3,Georgian_Kingdom,Gnff,Cubanned,"(2611.63, 49.00, -10669.28)"
Titan_A,363.10,0,3,0.00,,3,Georgian_Kingdom,TeaBurger,pixa__,"(2595.70, 44.31, -10674.76)"
praamzius,351.62,0,2,0.00,,3,Greenland,TridentChugger,RinneganPT,"(2596.00, 33.00, -10671.61)"
ISupportDaJews,345.43,0,3,0.00,,3,Greenland,Teagled,Pupunan,"(2596.69, 32.23, -10671.50)"
Bolsonaro_2026,329.59,1,2,0.50,,3,Greenland,TiCTaCPoWer,Lapri,"(2596.49, 32.28, -10669.41)"
CaelusX,327.71,0,3,0.00,,3,Greenland,kalkapat,PaysafeDoVSKI,"(2602.30, 49.00, -10667.24)"
DNSExile_,323.28,0,1,0.00,,3,Georgian_Kingdom,"#Fall",TLCFoxer,"(2782.06, 2.00, -10718.16)"
_Duk1,320.90,0,0,0.00,,3,Georgian_Kingdom,RinneganPT,Coldballer78,"(2642.95, 63.00, -10743.52)"
Vqnax,314.34,2,0,2.00,,3,Georgian_Kingdom,Lostnation,Coldballer78,"(2707.70, 61.20, -10732.19)"
iWithered,307.56,0,0,0.00,,3,Georgian_Kingdom,xKotaro,kalkapat,"(2702.94, 58.60, -10689.30)"
qtmx,307.00,0,1,0.00,,3,Georgian_Kingdom,K4ppah,DNSExile_,"(2715.18, 60.00, -10687.30)"
